valueSetId,valueSetName,searchTerm,vocabularyId
1053.opioids,Opioids,218216,RxNorm
1053.opioids,Opioids,317573,RxNorm
1053.opioids,Opioids,7052,RxNorm
1053.opioids,Opioids,261266,RxNorm
1053.opioids,Opioids,996644,RxNorm
1053.opioids,Opioids,996654,RxNorm
1053.opioids,Opioids,996652,RxNorm
1053.opioids,Opioids,996650,RxNorm
1053.opioids,Opioids,135775,RxNorm
1053.opioids,Opioids,996640,RxNorm
1053.opioids,Opioids,2670,RxNorm
1053.opioids,Opioids,996642,RxNorm
1053.opioids,Opioids,215241,RxNorm
1053.opioids,Opioids,855205,RxNorm
1053.opioids,Opioids,797534,RxNorm
1053.opioids,Opioids,220731,RxNorm
1053.opioids,Opioids,1789755,RxNorm
1053.opioids,Opioids,7804,RxNorm
1053.opioids,Opioids,313571,RxNorm
1053.opioids,Opioids,197975,RxNorm
1053.opioids,Opioids,3423,RxNorm
1053.opioids,Opioids,1427171,RxNorm
1053.opioids,Opioids,201849,RxNorm
1053.opioids,Opioids,9895,RxNorm
1053.opioids,Opioids,1673367,RxNorm
1053.opioids,Opioids,5489,RxNorm
1053.opioids,Opioids,864681,RxNorm
1053.opioids,Opioids,214160,RxNorm
1053.opioids,Opioids,864685,RxNorm
1053.opioids,Opioids,7814,RxNorm
1053.opioids,Opioids,1157663,RxNorm
1053.opioids,Opioids,219611,RxNorm
1053.opioids,Opioids,6813,RxNorm
1053.opioids,Opioids,204836,RxNorm
1053.opioids,Opioids,220000,RxNorm
1053.opioids,Opioids,1190286,RxNorm
1053.opioids,Opioids,1483744,RxNorm
1053.opioids,Opioids,6754,RxNorm
1053.acetaminophen,Acetaminophen,1868983,RxNorm
1053.acetaminophen,Acetaminophen,1427052,RxNorm
1053.acetaminophen,Acetaminophen,215643,RxNorm
1053.acetaminophen,Acetaminophen,1928332,RxNorm
1053.acetaminophen,Acetaminophen,358255,RxNorm
1053.acetaminophen,Acetaminophen,161,RxNorm
1053.acetaminophen,Acetaminophen,2177504,RxNorm
1053.acetaminophen,Acetaminophen,1801174,RxNorm
1053.acetaminophen,Acetaminophen,2050789,RxNorm
1053.acetaminophen,Acetaminophen,2178787,RxNorm
1053.acetaminophen,Acetaminophen,1537556,RxNorm
1053.acetaminophen,Acetaminophen,2380584,RxNorm
1053.acetaminophen,Acetaminophen,2380604,RxNorm
1053.nsaids,NSAIDs,212110,RxNorm
1053.nsaids,NSAIDs,212111,RxNorm
1053.nsaids,NSAIDs,220751,RxNorm
1053.nsaids,NSAIDs,5640,RxNorm
1053.nsaids,NSAIDs,1303790,RxNorm
1053.nsaids,NSAIDs,204937,RxNorm
1053.nsaids,NSAIDs,72610,RxNorm
1053.nsaids,NSAIDs,311196,RxNorm
1053.nsaids,NSAIDs,7258,RxNorm
1053.nsaids,NSAIDs,219675,RxNorm
1053.nsaids,NSAIDs,1648999,RxNorm
1053.nsaids,NSAIDs,29154,RxNorm
1053.nsaids,NSAIDs,1085779,RxNorm
1053.nsaids,NSAIDs,3355,RxNorm
1053.nsaids,NSAIDs,1085748,RxNorm
1053.nsaids,NSAIDs,1085686,RxNorm
1053.nsaids,NSAIDs,1086271,RxNorm
1053.nsaids,NSAIDs,1085688,RxNorm
1053.nsaids,NSAIDs,38,RxNorm
1053.nsaids,NSAIDs,1085764,RxNorm
1053.nsaids,NSAIDs,35827,RxNorm
