valueSetId,valueSetName,searchTerm,vocabularyId
112.zoster-diagnoses,Zoster Diagnoses,^05[2-3].*,ICD9CM
112.zoster-vaccination-procedures,Zoster Vaccination Procedures,90396,CPT4
112.zoster-vaccination-procedures,Zoster Vaccination Procedures,90736,CPT4
112.hiv-diagnoses,HIV Diagnoses,^04[2-4].*,ICD9CM
112.blood-or-bone-marrow-cancer-diagnoses,Blood Or Bone Marrow Cancer Diagnoses,^20[0-8].*,ICD9CM
112.chemo-procedures,Chemotherapy Procedures,00.10,ICD9Proc
112.chemo-procedures,Chemotherapy Procedures,61517,CPT4
112.chemo-procedures,Chemotherapy Procedures,96400,CPT4
112.chemo-procedures,Chemotherapy Procedures,96401,CPT4
112.chemo-procedures,Chemotherapy Procedures,96402,CPT4
112.chemo-procedures,Chemotherapy Procedures,96405,CPT4
112.chemo-procedures,Chemotherapy Procedures,96406,CPT4
112.chemo-procedures,Chemotherapy Procedures,96408,CPT4
112.chemo-procedures,Chemotherapy Procedures,96409,CPT4
112.chemo-procedures,Chemotherapy Procedures,96410,CPT4
112.chemo-procedures,Chemotherapy Procedures,96411,CPT4
112.chemo-procedures,Chemotherapy Procedures,96412,CPT4
112.chemo-procedures,Chemotherapy Procedures,96413,CPT4
112.chemo-procedures,Chemotherapy Procedures,96414,CPT4
112.chemo-procedures,Chemotherapy Procedures,96415,CPT4
112.chemo-procedures,Chemotherapy Procedures,96416,CPT4
112.chemo-procedures,Chemotherapy Procedures,96417,CPT4
112.chemo-procedures,Chemotherapy Procedures,96420,CPT4
112.chemo-procedures,Chemotherapy Procedures,96422,CPT4
112.chemo-procedures,Chemotherapy Procedures,96423,CPT4
112.chemo-procedures,Chemotherapy Procedures,96425,CPT4
112.chemo-procedures,Chemotherapy Procedures,96440,CPT4
112.chemo-procedures,Chemotherapy Procedures,96445,CPT4
112.chemo-procedures,Chemotherapy Procedures,96450,CPT4
112.chemo-procedures,Chemotherapy Procedures,96500,CPT4
112.chemo-procedures,Chemotherapy Procedures,96501,CPT4
112.chemo-procedures,Chemotherapy Procedures,96504,CPT4
112.chemo-procedures,Chemotherapy Procedures,96505,CPT4
112.chemo-procedures,Chemotherapy Procedures,96508,CPT4
112.chemo-procedures,Chemotherapy Procedures,96509,CPT4
112.chemo-procedures,Chemotherapy Procedures,96510,CPT4
112.chemo-procedures,Chemotherapy Procedures,96511,CPT4
112.chemo-procedures,Chemotherapy Procedures,96512,CPT4
112.chemo-procedures,Chemotherapy Procedures,96524,CPT4
112.chemo-procedures,Chemotherapy Procedures,96526,CPT4
112.chemo-procedures,Chemotherapy Procedures,96535,CPT4
112.chemo-procedures,Chemotherapy Procedures,96538,CPT4
112.chemo-procedures,Chemotherapy Procedures,96540,CPT4
112.chemo-procedures,Chemotherapy Procedures,96542,CPT4
112.chemo-procedures,Chemotherapy Procedures,96545,CPT4
112.chemo-procedures,Chemotherapy Procedures,96549,CPT4
112.chemo-procedures,Chemotherapy Procedures,96910,CPT4
112.chemo-procedures,Chemotherapy Procedures,96912,CPT4
112.chemo-procedures,Chemotherapy Procedures,96913,CPT4
112.chemo-procedures,Chemotherapy Procedures,99.25,ICD9Proc
112.chemo-procedures,Chemotherapy Procedures,99555,CPT4
112.chemo-procedures,Chemotherapy Procedures,C8953,HCPCS
112.chemo-procedures,Chemotherapy Procedures,C8954,HCPCS
112.chemo-procedures,Chemotherapy Procedures,C8955,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G0355,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G0359,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G0360,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G0361,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G8371,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G8372,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G8373,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G8374,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9021,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9022,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9023,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9024,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9025,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9026,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9027,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9028,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9029,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9030,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9031,HCPCS
112.chemo-procedures,Chemotherapy Procedures,G9032,HCPCS
112.chemo-procedures,Chemotherapy Procedures,Q0081,HCPCS
112.chemo-procedures,Chemotherapy Procedures,Q0083,HCPCS
112.chemo-procedures,Chemotherapy Procedures,Q0084,HCPCS
112.chemo-procedures,Chemotherapy Procedures,Q0085,HCPCS
112.chemo-procedures,Chemotherapy Procedures,S5019,HCPCS
112.chemo-procedures,Chemotherapy Procedures,S5020,HCPCS
112.chemo-procedures,Chemotherapy Procedures,S9329,HCPCS
112.chemo-procedures,Chemotherapy Procedures,S9330,HCPCS
112.chemo-procedures,Chemotherapy Procedures,S9331,HCPCS
