valueSetId,valueSetName,searchTerm,vocabularyId
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,277.4,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,^570*,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,572.2,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,^572.4*,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,^573*,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,576.8,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,782.4,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,^789.1*,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,^790.4*,ICD9CM
135.acute-liver-injury-dx,Acute Liver Injury Diagnoses,^794.8*,ICD9CM
135.total-bilirubin,Total Bilirubin Labs,35194-0,LOINC
135.total-bilirubin,Total Bilirubin Labs,1975-2,LOINC
135.total-bilirubin,Total Bilirubin Labs,14631-6,LOINC
135.alt,Alanine Aminotransferase Labs,1742-6,LOINC
135.alp,Alanine Phosphatase Labs,6768-6,LOINC
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.0,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.4,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.40,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.41,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.49,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.5,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.6,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.8,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.42,ICD9CM
135.chronic-liver-injury-dx,Chronic Liver Injury Diagnoses,571.9,ICD9CM
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),6-mercaptopurine,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),acebutolol,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),acetazolamide,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),acetohexamide,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),acyclovir,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),albuterol,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),alendronate,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),allopurinol,RxNorm
135.liver-toxicity-meds-expanded-list,Liver Toxicity Medications (Expanded List),alprazolam,RxNorm
