valueSetId,valueSetName,searchTerm,vocabularyId
16.ankle-brachial-index,Ankle Brachial Index,77194-9,LOINC
16.ankle-systolic-blood-pressure,Ankle Systolic Blood Pressure,8511-8,LOINC
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,747.22,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,237.7,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,443.1,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,446.0,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,446.4,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,446.5,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,446.6,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,446.7,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,447.6,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,710.1,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,747.1,ICD9CM
16.non-atherosclerotic-pad-dx,Non-Atheroscleroic PAD,747.64,ICD9CM
16.pad-dx,PAD,^440\.2.*,ICD9CM
16.pad-dx,PAD,^440\.3.*,ICD9CM
16.pad-dx,PAD,^440\.8.*,ICD9CM
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,88.48,ICD9CM
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75710,CPT4
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75711,CPT4
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75712,CPT4
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75716,CPT4
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75717,CPT4
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75718,CPT4
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75630,CPT4
16.lower-extremity-artery-angiography,Lower Extremity Artery Angiography Procedure,75631,CPT4
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,39.50,ICD9CM
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,39.90,ICD9CM
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,37205,CPT4
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,37206,CPT4
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,37207,CPT4
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,37208,CPT4
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,37184,CPT4
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,37185,CPT4
16.non-coronary-vessel-stent,Non Coronary Vessel Stent Procedure,37186,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,38.18,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.50,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.25,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.29,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,38.08,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,38.38,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,38.48,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.49,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.56,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.57,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.58,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,39.90,ICD9CM
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35302,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35303,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35304,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35305,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35306,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35331,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35351,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35355,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35361,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35363,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35371,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35372,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35381,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35452,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35454,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35456,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35459,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35470,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35472,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35473,CPT4
16.lower-extremity-surgery-vascular-interventions,Lower Extremity Artery Surgery Procedure,35474,CPT4
