valueSetId,valueSetName,searchTerm,vocabularyId
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Epoetin Alfa,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Darbepoetin alfa,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Filgrastim,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Pegfilgrastim,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Sargramostim,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Methotrexate,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Azathioprine,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Mercaptopurine,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Cyclophosphamide,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Hydroxyurea,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Imatinib,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Dasatinib,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Nilotinib,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Busulfan,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Etoposide,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Lomustine,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Thioguanine,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Lenalidomide,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Chlorambucil,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Melphalan,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Trofosfamide,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Mycophenolate mofetil,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Capecitabine,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Tegafur,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Carmofur,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Cyclosporine,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Tacrolimus,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Phenytoin,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Fosphenytoin,RxNorm
17.red-blood-cell-meds,Medications Affecting Red Blood Cells,Valproic acid,RxNorm
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,280.9,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,281.1,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,281.3,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,281.4,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,281.9,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,282.2,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,282.9,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,284.9,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,285.9,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,336.2,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,280.0,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,280.1,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,280.8,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,281.8,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,281.0,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,281.2,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,648.2,ICD9CM
17.R1.anemias-and-other-hematologic-disorders,Anemias and Other Hematologic Disorders,283.0,ICD9CM
