valueSetId,valueSetName,searchTerm,vocabularyId
19.hiv-indication,HIV Indication,^04[2-4].*,ICD9CM
19.dialysis-procedures,Dialysis Procedures,90921,CPT4
19.dialysis-procedures,Dialysis Procedures,90924,CPT4
19.dialysis-procedures,Dialysis Procedures,90925,CPT4
19.dialysis-procedures,Dialysis Procedures,G0317,HCPCS
19.dialysis-procedures,Dialysis Procedures,G0318,HCPCS
19.dialysis-procedures,Dialysis Procedures,G0323,HCPCS
19.dialysis-procedures,Dialysis Procedures,G0327,HCPCS
19.dialysis-procedures,Dialysis Procedures,G8075,HCPCS
19.dialysis-procedures,Dialysis Procedures,90935,CPT4
19.dialysis-procedures,Dialysis Procedures,90937,CPT4
19.dialysis-procedures,Dialysis Procedures,90940,CPT4
19.dialysis-procedures,Dialysis Procedures,90941,CPT4
19.dialysis-procedures,Dialysis Procedures,90942,CPT4
19.dialysis-procedures,Dialysis Procedures,90945,CPT4
19.dialysis-procedures,Dialysis Procedures,90947,CPT4
19.dialysis-procedures,Dialysis Procedures,90953,CPT4
19.dialysis-procedures,Dialysis Procedures,90976,CPT4
19.dialysis-procedures,Dialysis Procedures,90980,CPT4
19.dialysis-procedures,Dialysis Procedures,90988,CPT4
19.dialysis-procedures,Dialysis Procedures,90989,CPT4
19.dialysis-procedures,Dialysis Procedures,90990,CPT4
19.dialysis-procedures,Dialysis Procedures,90991,CPT4
19.dialysis-procedures,Dialysis Procedures,90992,CPT4
19.dialysis-procedures,Dialysis Procedures,90993,CPT4
19.dialysis-procedures,Dialysis Procedures,90999,CPT4
19.dialysis-procedures,Dialysis Procedures,A4653,HCPCS
19.dialysis-procedures,Dialysis Procedures,A4913,HCPCS
19.dialysis-procedures,Dialysis Procedures,E1590,HCPCS
19.dialysis-procedures,Dialysis Procedures,39.95,ICD9Proc
19.dialysis-procedures,Dialysis Procedures,54.98,ICD9Proc
19.splenectomy-procedures,Splenectomy Procedures,41.43,ICD9Proc
19.splenectomy-procedures,Splenectomy Procedures,^41\.5.*,ICD9Proc
19.splenectomy-procedures,Splenectomy Procedures,38120,CPT4
19.splenectomy-procedures,Splenectomy Procedures,56345,CPT4
19.splenectomy-procedures,Splenectomy Procedures,38100,CPT4
19.splenectomy-procedures,Splenectomy Procedures,38101,CPT4
19.splenectomy-procedures,Splenectomy Procedures,38102,CPT4
