valueSetId,valueSetName,searchTerm,vocabularyId
602.total-cholesterol,Total Cholesterol,2093-3,LOINC
602.total-cholesterol,Total Cholesterol,48620-9,LOINC
602.total-cholesterol,Total Cholesterol,35200-5,LOINC
602.total-cholesterol,Total Cholesterol,14647-2,LOINC
602.ldl-c,LDL-C,2089-1,LOINC
602.ldl-c,LDL-C,18262-6,LOINC
602.ldl-c,LDL-C,49132-4,LOINC
602.ldl-c,LDL-C,35198-1,LOINC
602.ldl-c,LDL-C,39469-2,LOINC
602.ldl-c,LDL-C,12773-8,LOINC
602.ldl-c,LDL-C,18261-8,LOINC
602.ldl-c,LDL-C,22748-8,LOINC
602.ldl-c,LDL-C,13457-7,LOINC
602.ldl-c,LDL-C,9346-8,LOINC
602.ldl-c,LDL-C,2574-2,LOINC
602.ldl-c,LDL-C,14815-5,LOINC
602.hdl,HDL,2085-9,LOINC
602.hdl,HDL,49130-8,LOINC
602.hdl,HDL,35197-3,LOINC
602.hdl,HDL,12771-2,LOINC
602.hdl,HDL,12772-0,LOINC
602.hdl,HDL,18263-4,LOINC
602.hdl,HDL,27340-9,LOINC
602.hdl,HDL,14646-4,LOINC
602.triglycerides,Triglycerides,2571-8,LOINC
602.triglycerides,Triglycerides,30524-3,LOINC
602.triglycerides,Triglycerides,3048-6,LOINC
602.triglycerides,Triglycerides,35217-9,LOINC
602.triglycerides,Triglycerides,28554-4,LOINC
602.triglycerides,Triglycerides,14927-8,LOINC
602.triglycerides,Triglycerides,47210-0,LOINC
602.tsh,Thyroid Stimulating Hormone,11579-0,LOINC
602.tsh,Thyroid Stimulating Hormone,24348-5,LOINC
602.alkaline-phosphatase,Alkaline Phosphatase,6768-6,LOINC
602.alkaline-phosphatase,Alkaline Phosphatase,12805-8,LOINC
602.total-bilirubin,Total Bilirubin,35194-0,LOINC
602.total-bilirubin,Total Bilirubin,1975-2,LOINC
602.total-bilirubin,Total Bilirubin,14631-6,LOINC
602.protein-in-urine,Protein In 24h Urine Collection,21482-5,LOINC
602.protein-in-urine,Protein In 24h Urine Collection,2889-4,LOINC
602.protein-in-urine,Protein In 24h Urine Collection,21028-6,LOINC
602.urine-protein-creatine-ratio,Urine Protein/Creatine Ratio,13801-6,LOINC
602.urine-protein-creatine-ratio,Urine Protein/Creatine Ratio,2890-2,LOINC
602.creatinine,Creatinine,14682-9,LOINC
602.creatinine,Creatinine,2160-0,LOINC
602.creatinine,Creatinine,35203-9,LOINC
602.creatinine,Creatinine,38483-4,LOINC
602.creatinine,Creatinine,59826-8,LOINC
602.creatinine,Creatinine,77140-2,LOINC
602.creatinine,Creatinine,14682-9,LOINC
602.egfr,Estimated Glomerular Filtration Rate,50261-7,LOINC
602.egfr,Estimated Glomerular Filtration Rate,45066-8,LOINC
602.egfr,Estimated Glomerular Filtration Rate,48642-3,LOINC
602.egfr,Estimated Glomerular Filtration Rate,48642-3,LOINC
602.egfr,Estimated Glomerular Filtration Rate,48643-1,LOINC
602.egfr,Estimated Glomerular Filtration Rate,33914-3,LOINC
602.hba1c,HbA1c,4549-2,LOINC
602.hba1c,HbA1c,17855-8,LOINC
602.hba1c,HbA1c,17856-6,LOINC
602.hba1c,HbA1c,41995-2,LOINC
602.fasting-glucose-capillary,Fasting Glucose Capillary,1556-0,LOINC
602.fasting-glucose-serum,Fasting Glucose Serum,1558-6,LOINC
602.lipid-lowering-meds,Lipid Lowering Medications,36567,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,41127,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,6472,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,42463,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,861634,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,83367,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,301542,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,221072,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1152441,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,7393,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,8703,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,4719,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,341248,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,141626,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,2447,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,2685,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1367839,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1364479,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1665895,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1665900,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1665904,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1665906,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659156,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659161,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659165,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659167,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659177,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659179,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659182,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1659183,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,495215,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1372731,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,327008,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,404914,RxNorm
602.lipid-lowering-meds,Lipid Lowering Medications,1372754,RxNorm
602.lipid-lowering-procs,Lipid Lowering Procedures,36515,CPT4
602.lipid-lowering-procs,Lipid Lowering Procedures,36516,CPT4
602.lipid-lowering-procs,Lipid Lowering Procedures,99.76,ICD9Proc
602.chd-indicator-dx,Coronary Heart Disease Indicator Diagnoses,413.0,ICD9CM
602.chd-indicator-dx,Coronary Heart Disease Indicator Diagnoses,413.1,ICD9CM
602.chd-indicator-dx,Coronary Heart Disease Indicator Diagnoses,413.9,ICD9CM
