valueSetId,valueSetName,searchTerm,vocabularyId
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.41,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.42,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.60,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.61,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.62,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.63,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.64,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.68,ICD9CM
615.sickle-cell-disease-diagnoses,Sickle Cell Disease Diagnoses,282.69,ICD9CM
615.sickle-cell-trait-diagnoses,Sickle Cell Trait Diagnoses,282.5,ICD9CM
