valueSetId,valueSetName,searchTerm,vocabularyId
68.systolic-bp,Systolic Blood Pressure Labs,8480-6,LOINC
68.diastolic-bp,Diastolic Blood Pressure Labs,8462-4,LOINC
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),194.0,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),227.0,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),255.0,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),255.1,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),255.2,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),255.3,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),255.6,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),255.8,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),255.9,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),^405.*,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),^416.*,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),^581.*,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),^582.*,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),^745.*,ICD9CM
68.exclusion-any-time-dx,Exclusion Diagnoses (Any Time),^747.1*,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),^242.*,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),246.0,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),246.8,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),246.9,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),252.8,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),252.9,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),320.20,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),327.21,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),327.23,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),327.27,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),327.29,ICD9CM
68.exclusion-within-5-years-dx,Exclusion Diagnoses (Within 5 Years),^599.6*,ICD9CM
68.ejection-fraction,Ejection Fraction,10230-1,LOINC
68.med-class-hydralazine,Medication Class Hydralazine,hydralazine,RxNorm
68.med-class-hydralazine,Medication Class Hydralazine,apresazide,RxNorm
68.med-class-hydralazine,Medication Class Hydralazine,bidil,RxNorm
68.med-class-hydralazine,Medication Class Hydralazine,apressoline,RxNorm
68.med-class-minoxidil,Medication Class Minoxidil,minoxidil,RxNorm
68.med-class-minoxidil,Medication Class Minoxidil,loniten,RxNorm
