valueSetId,valueSetName,searchTerm,vocabularyId
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.30,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.32,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.20,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.22,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.90,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.92,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.80,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.82,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.70,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.72,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.60,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.62,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.50,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.52,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.40,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.42,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.00,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,250.02,ICD9CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,E11.00,ICD10CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,E11.01,ICD10CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,E11.21,ICD10CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,E11.22,ICD10CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,E11.29,ICD10CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,E11.311,ICD10CM
73.t2dm-dx,Diabetes Mellitus Type II Diagnoses,E11.319,ICD10CM
