valueSetId,valueSetName,searchTerm,vocabularyId
797.developmental-language-disorder-diagnoses,Developmental Language Disorder Diagnoses,315.31,ICD9CM
797.developmental-language-disorder-diagnoses,Developmental Language Disorder Diagnoses,315.32,ICD9CM
797.developmental-language-disorder-diagnoses,Developmental Language Disorder Diagnoses,315.39,ICD9CM
797.developmental-language-disorder-diagnoses,Developmental Language Disorder Diagnoses,F80.1,ICD10CM
797.developmental-language-disorder-diagnoses,Developmental Language Disorder Diagnoses,F80.2,ICD10CM
797.developmental-language-disorder-diagnoses,Developmental Language Disorder Diagnoses,F80.89,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,F70,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,F71,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,F72,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,F73,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,F78,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,F79,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.0,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.1,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.11,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.12,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.2,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.3,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.4,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.41,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.42,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.5,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.6,ICD10CM
797.developmental-language-disorder-exclusion-diagnoses,Developmental Language Disorder Exclusion Diagnoses,H90.7,ICD10CM
